Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
569,"Scottish economist Adam Smith�s The Wealth of Nations heralded�or caused�the market-based economic system that has increasingly become the norm since the book�s publication in 1776. Some say that Smith�s magnum opus was to economics as Newton�s Principia Mathematica was to physics or as Darwin�s On the Origin of Species was for biology. 5 Certainly the book made its impact in the early United States. 1776 predates wide usage of the term capitalism, now commonly associated with Smith, and which Smith refers to as a �system of natural liberty.� Smith presented what we today consider Economics 101: supply and demand, and the importance of specialization and the division of labor. He also posited that individuals pursuing their own self-interest could 10 unintentionally create a more just society by so doing�an idea sometimes referred to as the �Invisible Hand.� Even Smith�s critics do not deny the book�s immense influence. Murray Rothbard levels the criticism that The Wealth of Nations, in fact, eclipsed public knowledge of all economists�better ones, he says� before Smith. Consider each of the answer choices separately and indicate all that apply. Which of the following would be an example of the �Invisible Hand� as described by Adam Smith?",A group of moviegoers who are able to get cheaper tickets for a film by buying their tickets as a group.,A society in which the division of labor frees certain people to pursue careers that might seem impractical in a non-capitalist society.,"A university in which classes are first-come, first-served, thereby equitably distributing courses according to the passion and dedication of students.","A stock exchange in which each trader acts according to a different set of information, such that certain commodities become hyped and their prices overinflated.","A university in which classes are first-come, first-served, thereby equitably distributing courses according to the passion and dedication of students.",CAT,Hard
570,A 1 meter by 1 meter by 1 meter sheet of paper is to be cut into 4 centimeter by 5 centimeter rectangles. How many such rectangles can be cut from the sheet of paper?,504,450,500,305,500,CAT,Vhard
571,"A 10 foot ladder leans against a vertical wall and forms a 60 degree angle with the floor. Assuming the ground below the ladder is perfectly horizontal, how far above the ground is the top of the ladder?",5ft,(5*1.732)ft,10ft,9ft,(5*1.732)ft,CAT,Vhard
572,"The organizer of the university�s series of public debates commented that it is difficult to find a suitable adjudicator for debates on certain controversial matters, as there exist topics in regards to which no one is _________.",pellucid,disinterested,jocular,subjective,disinterested,CAT,Vhard
573,"It was apparent to everyone present that upon receiving the medal, a decoration long past due, the superannuated veteran adopted a mood of exaggerated hilarity, almost as if the unexpected resolution of a lifetime of injustice came as a _________ surprise.",prodigal,plangent,risible,parsimonious,risible,CAT,Vhard
574,"Despite their diminutive stature, horse jockeys are far from _________ bunch: many would all-too-happily allow minor umbrage to escalate to barroom brawl.",a stygian,a farcical,an effete,an evocative,an effete,CAT,Vhard
575,"The apparent simplicity of a cup of coffee _________ the dizzying number of hours of toil required to produce it, from months of cultivation of the bean tree to painstaking refinement in highly sophisticated machinery.",redresses,confirms,belies,fosters,belies,CAT,Vhard
576,The representative�s violent ascension to prominence began with a __________ attack on the comparatively conciliatory leaders of his own party.,truculent,partisan,biased,imperious,truculent,CAT,Vhard
577,Even those accustomed to the austere beauty of mathematics may be daunted by the __________ with which Bourbaki conducts his proofs.,celerity,diligence,asperity,rigor,rigor,CAT,Vhard
578,"Even from a distance, the man could see that the tornado had _____________ from the site all but the most basic elements of his childhood home; nothing but traces of the original foundations remained.",tethered,extirpated,effaced,hallowed,effaced,CAT,Vhard
579,"Even from a distance, the man could see that the tornado had _____________ from the site all but the most basic elements of his childhood home; nothing but traces of the original foundations remained.",rout,forgery,fallacy,infirmity,rout,CAT,Vhard
580,"By selling a blanket for Rs. 300, a shopkeeper gains 20%. During a clearance sale, the shopkeeper allows a discount of 10% on the marked price. His gain percent during the sale is :",95,10%,12%,8%,8%,CAT,Vhard
581,The cost price of a book is 64% of the marked price. Calculate the gain percent after allowing a discount of 12%.,30%,37.50%,50.45%,65.00%,37.50%,CAT,Vhard
582,"A trader marked the selling price of a book at 10% above the cost price. At the time of selling, he allows certain discount and suffers a loss of 1%. He allowed a discount of :",8%,9%,10%,12.50%,10%,CAT,Vhard
583,If theproduct of two numbers is 2028 and their H.C.F. is 13. The number of such pairsis,1,2,4,7,2,CAT,Vhard
584,"Theleast multiple of 7, which leaves a remainder of 4, when divided by 6, 9,",364,300,250,420,364,CAT,Vhard
585,2years ago A�s age was 6 times of B�s age . 6 years after the ratio between theages of A and B becomes 10 : 3. What is A�s present age,44,38,42,34,44,CAT,Vhard
586,Ifratio of Kartik�s age to that of his father is 1:5 . After 10 years their ageswill be in the ratio of 1:3 . What is the current age of father?,44,42,50,34,50,CAT,Vhard
587,"Ratiobetween present ages of A and B is 3:4 . What is the present age of A if 4years ago , the ratio was 5:7?",22,24,30,34,24,CAT,Vhard
588,"Ratioof present ages of father and son is 8:3 . If 10 years from now , the ratiobecomes 2:1 , find present age of son.",14,15,19,24,15,CAT,Vhard
589,"5years ago father�s age was 3 times of his son�s age . 5 years from now , theratio between the ages of father and son becomes 11:5 . Find father�s presentage .",30,40,50,48,50,CAT,Vhard
590,"Twoprime numbers A,B(A23, then which of thefollowing numbers would always divide A+B?",21,16,12,8,12,CAT,Vhard
591,"Acertain number (N1) when divided by 222 leaves a remainder 35, another number(N2)whendivided by 407 leaves a remainder 47. What is the remainder when the sum ofthese two numbers is divided by 37?",14,8,12,22,8,CAT,Vhard
592,Whatis the remainder let after dividing 1!+2!+3!.....+10! by 7?,3,5,7,2,5,CAT,Vhard
593,Whatis the remainder when 3^7 is divided by 8?,10,33,27,3,3,CAT,Vhard
594,"Ina meet, persons from five different places have assembled in Pune HighSchool. From the five places the persons come to represent are 42,60,210,90 and84. What is the minimum number of rooms that would be required to accommodateso that each room has the same number of occupants and occupants are all fromthe same places?",51,71,61,81,81,CAT,Vhard
595,"If the letters of the word LABOUR are permuted in all possible ways and the words formed by the activity are arranged in a dictionary, Then calculate the rank of the word LABOUR.",424,442,242,244,242,CAT,Vhard
596,Aclass photograph has to be taken. The front row consists of 6 girls who aresitting. 20 boys are standing behind. The two corner positions are reserved forthe 2 tallest boys. In how many ways can the students be arranged?,81!*1440,18!*1440,12!*1440,14!*1440,18!*1440,CAT,Vhard
597,If5�nP3=4� n+1P3 find n?,4,5,12,14,14,CAT,Vhard
598,"There are three sections consisting of 4,5 and 6 questions respectively in an examination paper. Attempting one question from each section is compulsory but a candidate do not need to attempt all the questions. In how many ways the questions can be attempted?",37362,24352,25259,29295,29295,CAT,Vhard
599,"Calculate the number of ways in which a a mixed double tennis players can be arranged, if there are a total of 9 couples and no couple can play in the same game.",2125,1221,1215,1512,1512,CAT,Vhard
600,How many litres of water should be added to a 30 litre mixture of milk and water containing milk and water in the ratio of 7 : 3 such that the resultant mixture has 40% water in it?,5l,6l,7l,8l,5l,CAT,Vhard
601,Themilk and water in two vessels P and Q are in the ratio 4:3 and 2:3respectively. In what ratio the liquids in both the vessels be mixed to obtaina new mixture in vessel R consisting half milk and half water?,9:02,3:08,2:05,7:05,7:05,CAT,Vhard
602,What is operating system?,collection of programs that manages hardware resources,system service provider to the application programs,link to interface the hardware and application programs,all of the mentioned,all of the mentioned,tech,easy
603,"To access the services of operating system, the interface is provided by the",system calls,API,library,assembly instructions,system calls,tech,easy
604,"By operating system, the resource management can be done via",time division multiplexing,space division multiplexing,both (a) and (b),none,both (a) and (b),tech,easy
605,"The systems which allows only one process execution at a time, are called",uniprogramming systems,uniprocessing systems,unitasking systems,none,uniprogramming systems,tech,easy
606,A process can be terminated due to,normal exit,fatal error,killed by another process,all of the mentioned,all of the mentioned,tech,easy
607,",include int main() { FILE *fp1, *fp2; fp1=fopen(""file.c"", ""w""); fp2=fopen(""file.c"", ""w""); fputc('A', fp1); fputc('B', fp2); fclose(fp1); fclose(fp2); return 0; }",B,A B,B B,Error in opening file,B,tech,easy
608,",include int main() { int k=1; printf(""%d == 1 is"" ""%sn"", k, k==1?""TRUE"":""FALSE""); return 0; }",k == 1 is TRUE,1 == 1 is TRUE,1 == 1 is FALSE,K == 1 is FALSE,1 == 1 is TRUE,tech,easy
609,",include int main() { float a=3.15529; printf(""%2.1fn"", a); return 0; }",3,3.15,3.2,3,3.2,tech,easy
610,",include int main() { char *p; p=""%dn""; p++; p++; printf(p-2, 23); return 0; }",21,23,Error,No output,23,tech,easy
611,",include int main() { printf(""%%%%n""); return 0; }",%%%%%,%%,No output,Error,%%,tech,easy
612,"When collection of various computers seems a single coherent system to its client, then it is called",computer network,distributed system,both (a) and (b),none,distributed system,tech,easy
613,Two devices are in network if,a process in one device is able to exchange information with a process in another device,a process is running on both devices,PIDs of the processes running of different devices are same,none of the mentioned,a process in one device is able to exchange information with a process in another device,tech,easy
614,Which one of the following computer network is built on the top of another network?,prior network,chief network,prime network,overlay network,overlay network,tech,easy
615,Bluetooth is an example of,personal area network,local area network,virtual private network,none,personal area network,tech,easy
616,"A list of protocols used by a system, one protocol per layer, is called",protocol architecture,protocol stack,protocol suit,none,protocol stack,tech,easy
617,TCP/IP model does not have ______ layer but OSI model have this layer.,session layer,presentation layer,application layer,both (a) and (b),both (a) and (b),tech,easy
618,The decoded instruction is stored in ______ .,IR,PC,Registers,MDR,IR,tech,easy
619,"The instruction -> Add LOCA,R0 does,",Adds the value of LOCA to R0 and stores in the temp register,Adds the value of R0 to the address of LOCA,Adds the values of both LOCA and R0 and stores it in R0,Adds the value of LOCA with a value in accumulator and stores it in R0,Adds the values of both LOCA and R0 and stores it in R0,tech,easy
620,Which registers can interact with the secondary storage,MAR,PC,IR,RO,MAR,tech,easy
621,During the execution of a program which gets initialized first ?,MAR,IR,PC,MAR,PC,tech,easy
622,A relational database consists of a collection of,Tables,Fields,Records,Keys,Tables,tech,easy
623,A ________ in a table represents a relationship among a set of values.,Column,Key,Row,Entry,Row,tech,easy
624,"For each attribute of a relation, there is a set of permitted values, called the ________ of that attribute.",Domain,Relation,Set,Schema,Domain,tech,easy
625,The term _______ is used to refer to a row.,attribute,tuple,field,instance,tuple,tech,easy
626,"Which one of the following is used to define the structure of the relation ,deleting relations and relating schemas ?",DML,DDL,Query,Relational schema,DDL,tech,easy
627,Which one of the following is not an Evolutionary Process Model?,WINWIN Spiral Model,Incremental Model,Concurrent Development Model,all of the mentioned,all of the mentioned,tech,easy
628,What is the major advantage of using Incremental Model?,Customer can respond to each increment,Easier to test and debug,It is used when there is a need to get a product to the market early,Both b & c,Both b & c,tech,easy
629,The spiral model has two dimensions namely _____________ and ____________.,"diagonal, angular","radial, perpendicular","radial, angular","diagonal, perpendicular","radial, angular",tech,easy
630,Identify the disadvantage of Spiral Model.,Doesn�t work well for smaller projects,High amount of risk analysis,Strong approval and documentation control,Additional Functionality can be added at a later date,Doesn�t work well for smaller projects,tech,easy
631,"If you were to create client/server applications, which model would you go for?",WINWIN Spiral Model,Spiral Model,Concurrent Model,Incremental Model,Concurrent Model,tech,easy
632,Remote Procedure Calls are used,for communication between two processes remotely different from each other on the same system,for communication between two processes on the same system,for communication between two processes on separate systems,None of these,for communication between two processes on separate systems,tech,med
633,To differentiate the many network services a system supports ______ are used.,Variables,Sockets,Ports,Service names,Ports,tech,med
634,",include int main() { int a=250; printf(""%1d n"", a); return 0; }",1250,2,50,250,250,tech,med
635,",include int main() { FILE *fp; char ch, str[7]; fp=fopen(""try.c"", ""r""); /* file 'try.c' contains ""This is Nagpur"" */ fseek(fp, 9L, SEEK_CUR); fgets(str, 5, fp); puts(str); return 0; }",agpur,gpur,Nagp,agpu,agpu,tech,med
636,",include int main() { int i; printf(""%dn"", scanf(""%d"", return 0; }",25,2,1,5,1,tech,med
637,",include ,include int main() { unsigned char; FILE *fp; fp=fopen(""trial"", ""r""); if(!fp) { printf(""Unable to open file""); exit(1); } fclose(fp); return 0; }",Error: in unsigned char statement,Error: unknown file pointer,No error,none,No error,tech,med
638,",include int main() { char ch; int i; scanf(""%c"", scanf(""%d"", printf(""%c %d"", ch, i); return 0; }",Error: suspicious char to in conversion in scanf(),Error: we may not get input for second scanf() statement,No error,none,Error: we may not get input for second scanf() statement ],tech,med
639,An un-interruptible unit is known as :,single,atomic,static,none,atomic,tech,med
640,The TestAndSet instruction is executed :,after a particular process,periodically,atomically,none,atomically,tech,med
641,Semaphore is a/an _______ to solve the critical section problem.,hardware,special program,integral variable,none,integral variable,tech,med
642,What is the reusable resource?,that can be used by one process at a time and is not depleted by that use,that can be used by more than one process at a time,that can be shared between various threads,none of the mentioned,that can be used by one process at a time and is not depleted by that use,tech,med
643,The circular wait condition can be prevented by,defining a linear ordering of resource types,using thread,using pipes,all of the mentioned,defining a linear ordering of resource types,tech,med
644,What is the drawback of banker�s algorithm?,in advance processes rarely know that how much resource they will need,the number of processes changes as time progresses,resource once available can disappear,all of the mentioned,all of the mentioned,tech,med
645,With paging there is no ________ fragmentation.,internal,external,either type of,none,external,tech,med
646,The page table registers should be built with _______.,very low speed logic,very high speed logic,a large memory space,None of these,very high speed logic,tech,med
647,Transmission data rate is decided by,network layer,physical layer,data link layer,transport layer,physical layer,tech,med
648,The main aim of v irtual memory organisation is,To provide effective memory access.,To provide better memory transfer.,To improve the execution of the program.,All of the above.,All of the above.,tech,med
649,The PROM is more effective than ROM chips in regard to _______.,Cost,Memory management,speed,both a and c,both a and c,tech,med
650,The ROM chips are mainly used to store _______.,System files,Root directories,Boot files,Driver files,Boot files,tech,med
651,The disadvantage of the EPROM chip is,The high cost factor.,The low efficiency.,The low speed of operation,The need to remove the chip physically to reprogram it.,The need to remove the chip physically to reprogram it.,tech,med
652,"The first fit, best fit and worst fit are strategies to select a ______",process from a queue to put in memory,processor to run the next process,free hole from a set of available holes,all,free hole from a set of available holes,tech,hard
653,"When memory is divided into several fixed sized partitions, each partition may contain ________.",exactly one process,atleast one process,multiple processes at once,none,exactly one process,tech,hard
654,"Using EDF algorithm practically, it is impossible to achieve 100 percent utilization due to : (choose all that apply)",the cost of context switching,interrupt handling,power consumption,all,interrupt handling,tech,hard
655,Rate monotonic scheduling assumes that the :,processing time of a periodic process is same for each CPU burst,processing time of a periodic process is different for each CPU burst,periods of all processes is the same,none,processing time of a periodic process is same for each CPU burst,tech,hard
656,"A process P1 has a period of 50 and a CPU burst of t1 = 25, P2 has a period of 80 and a CPU burst of 35. The total CPU utilization is :",0.9,0.74,0.94,0.8,0.94,tech,hard
657,The stub :,transmits the message to the server where the server side stub receives the message and invokes procedure on the server side,packs the parameters into a form transmittable over the network,locates the port on the server,all of these,all of these,tech,hard
658,In a memory mapped input/output :,"the CPU uses polling to watch the control bit constantly, looping to see if device is ready",the CPU writes one data byte to the data register and sets a bit in control register to show that a byte is available,the CPU receives an interrupt when the device is ready for the next byte,the CPU runs a user written code and does accordingly,the CPU writes one data byte to the data register and sets a bit in control register to show that a byte is available,tech,hard
659,"If no process is suspended, the signal operation :",puts the system into a deadlock state,suspends some default process� execution,nothing happens,the output is unpredictable,nothing happens,tech,hard
660,"If there are N routers from source to destination, total end to end delay in sending packet P(L->number of bits in the packet R-> transmission rate)",N,(2N*L)/R,(N*L)/R,L/R,(N*L)/R,tech,hard
661,ElGamal encryption system is,symmetric key encryption algorithm,asymmetric key encryption algorithm,not an encryption algorithm,none of these,asymmetric key encryption algorithm,tech,hard
662,",include int main() { unsigned char ch; FILE *fp; fp=fopen(""trial"", ""r""); while((ch = getc(fp))!=EOF) printf(""%c"", ch); fclose(fp); return 0; }",Error: in unsigned char declaration,Error: while statement,No error,"It prints all characters in file ""trial""",Error: in unsigned char declaration,tech,hard
663,",include int main() { FILE *fp; char str[11], ch; int i=0; fp = fopen(""INPUT.TXT"", ""r""); while((ch=getc(fp))!=EOF) { if(ch == 'n' || ch == ' ') { str[i]='0'; strrev(str); printf(""%s"", str); i=0; } else str[i++]=ch; } fclose(fp); return 0; }",The code writes a text to a file,The code reads a text files and display its content in reverse order,The code writes a text to a file in reverse order,none,The code reads a text files and display its content in reverse order,tech,hard
664,",include int main() { FILE *fptr; char str[80]; fptr = fopen(""f1.dat"", ""w""); if(fptr == NULL) printf(""Cannot open file""); else { while(strlen(gets(str))>0) { fputs(str, fptr); fputs(""n"", fptr); } fclose(fptr); } return 0; }",The code copies the content of one file to another,The code writes strings that are read from the keyboard into a file.,The code reads a file,none,The code writes strings that are read from the keyboard into a file.,tech,hard
665,",include int main() { FILE *fs, *ft; char c[10]; fs = fopen(""source.txt"", ""r""); c[0] = getc(fs); fseek(fs, 0, SEEK_END); fseek(fs, -3L, SEEK_CUR); fgets(c, 5, fs); puts(c); return 0; })",friend,frien,end,Error,end,tech,hard
666,",include /* Assume there is a file called 'file.c' in c:tc directory. */ int main() { FILE *fp; fp=fopen(""c:tcfile.c"", ""r""); if(!fp) printf(""Unable to open file.""); fclose(fp); return 0; }","No error, No output.",Program crashes at run time.,Output: Unable to open file.,none,Output: Unable to open file.,tech,hard
667,"As the resouces are reserved between two communicating end systems in circuit switching, this is achieved",authentication,guaranteed constant rate,reliability,store and forward,guaranteed constant rate,tech,hard
668,In case of nested subroutines the return addresses are stored in __________,System heap,Special memory buffers,Processor stack,Registers,Processor stack,tech,hard
669,The circuit used for the request line is a _________,Open-collector,EX-OR circuit,Open-drain,Nand circuit,Open-drain,tech,hard
670,The virtual memory basically stores the next segment of data to be executed on the _________.,Secondary storage,Disks,RAM,ROM,Secondary storage,tech,hard
671,How many phases are there in Scrum ?,2,3,4,Scrum is an agile method which means it does not have phases.,3,tech,hard
672,What are the four dimensions of Dependability ?,"Usability, Reliability, Security, Flexibility","Availability, Reliability, Maintainability, Security","Availability, Reliability, Security, Safety","Security, Safety, Testability, Usability","Availability, Reliability, Security, Safety",tech,hard
673,Select * from student join takes using (ID); The above query is equivalent to,Select * from student inner join takes using (ID);,Select * from student outer join takes using (ID);,Select * from student left outer join takes using (ID);,Both A and B,Select * from student inner join takes using (ID);,tech,hard
674,"{ (item name, color, clothes size), (item name, color), (item name, clothes size), (color, clothes size), (item name), (color), (clothes size), () }This can be achieved by using which of the following ?",group by rollup,group by cubic,group by,none of these,none of these,tech,hard
675,A primary key is combined with a foreign key creates,Parent-Child relation ship between the tables that connect them,Many to many relationship between the tables that connect them,Network model between the tables that connect them,none of these,Parent-Child relation ship between the tables that connect them,tech,hard
676,Which one of the following is the right syntax for DECODE ?,"DECODE (search, expression, result [, search, result]� [, default])","DECODE (expression, result [, search, result]� [, default], search)","DECODE (search, result [, search, result]� [, default], expression)","DECODE (expression, search, result [, search, result]� [, default])","DECODE (expression, search, result [, search, result]� [, default])",tech,hard
677,What is trap door ?,IT is trap door in WarGames,It is a hole in software left by designer.,It is a Trojan horse,It is a virus which traps and locks user terminal,It is a hole in software left by designer.,tech,Vhard
678,Which is not a port scan type ?,TCP scanning,SYN scanning,UDP scanning,SYSTEM Scanning,SYSTEM Scanning,tech,Vhard
679,What are zombie systems ?,Are specific system which are designed to attack by manufacturer,They are network of known hacking group,"These systems are previously compromised, independent systems",none,"These systems are previously compromised, independent systems",tech,Vhard
680,The register context and stacks of a thread are deallocated when the thread,terminates,blocks,unblocks,spawns,terminates,tech,Vhard
681,"For large files, when the index itself becomes too large to be kept in memory :",index is called,an index is created for the index file,secondary index files are created,all of these,an index is created for the index file,tech,Vhard
682,"Consider a disk queue with requests for I/O to blocks on cylinders : 98 183 37 122 14 124 65 67 Considering SSTF (shortest seek time first) scheduling, the total number of head movements is, if the disk head is initially at 53 :",224,236,245,240,236,tech,Vhard
683,Which one of the following is a transport layer protocol?,stream control transmission protocol,internet control message protocol,neighbor discovery protocol,dynamic host configuration protocol,stream control transmission protocol,tech,Vhard
684,Voice privacy in GSM cellular telephone protocol is provided by,A5/2 cipher,b5/4 cipher,b5/6 cipher,b5/8 cipher,A5/2 cipher,tech,Vhard
685,"If a unit completes its task before the allotted time period, then",It�ll perform some other task in the remaining time,Its time gets reallocated to different task,It�ll remain idle for the remaining time,none,It�ll remain idle for the remaining time,tech,Vhard
686,Which standard TCP port is assigned for contacting SSH servers?,port 21,port 22,port 23,port 24,port 22,tech,Vhard
687,"In RPC, while a server is processing the call, the client is blocked",unless the client sends an asynchronous request to the server,unless the call processing is complete,for the complete duration of the connection,none,unless the client sends an asynchronous request to the server,tech,Vhard
688,Suppose two IPv6 nodes want to interoperate using IPv6 datagrams but are connected to each other by intervening IPv4 routers. The best solution here is,use dual-stack approach,Tunneling,�No solution,Replace rhe system,Tunneling,tech,Vhard
689,The most efficient way of handling parameter passing is by using ______ .,General purpose registers,Stacks,Memory locations,all,General purpose registers,tech,Vhard
690,In CISC architecture most of the complex instructions are stored in _____,Register,Diodes,CMOS,Transistors,Transistors,tech,Vhard
691,Which of the following is a bad practice of Dependable programming ?,Limit the visibility of information in a program,Check array bounds,Check all inputs for validity,None of these,None of these,tech,Vhard
692,Which of the following is the worst type of module cohesion?,Logical Cohesion,Temporal Cohesion,Functional Cohesion,Coincidental Cohesion,Coincidental Cohesion,tech,Vhard
693,"In SQL the statement select * from R, S is equivalent to",Select * from R natural join S,Select * from R cross join S,Select * from R union join S,Select * from R inner join S,Select * from R cross join S,tech,Vhard
694,Assymmetric Encryption: Why can a message encrypted with the Public Key only be decrypted with the receiver�s appropriate Private Key?,"Not true, the message can also be decrypted with the Public Key",A so called �one way function with back door� is applyed for the encryption,The Public Key contains a special function which is used to encrypt the message and which can only be reversed by the appropriate Private Key,The encrypted message contains the function for decryption which identifies the Private Key,A so called �one way function with back door� is applyed for the encryption,tech,Vhard
695,"Select item name, color, clothes size, sum(quantity) from sales group by rollup(item name, color, clothes size); How many grouping is possible in this rollup?",8,4,2,1,4,tech,Vhard
696,We use ______________ name PL/SQL program objects and units.,Lexical Units,Literals,Delimiters,Identifiers,Identfiers,tech,Vhard
697,",include int X(char *s, FILE *iop) { int c; while (c = *s++) putc(c, iop); return ferror(iop) ? EOF : 0; }",getc,putc,fgets,fputs,fputs,tech,vhard
698,",include int main() { char *str = ""This"" //Line 1 char *ptr = ""Programn""; //Line 2 str = ptr; //Line 3 printf(""%s, %sn"", str, ptr); //Line 4 }",Memory holding �this� is cleared at line 3,Memory holding �this� loses its reference at line 3,You cannot assign pointer like in Line 3,"Output will be This, Program",Memory holding �this� loses its reference at line 3,tech,vhard
699,",include int main() { srand(time(NULL)); printf(""%dn"", rand()); return 0; }",Compile time error,An integer in the range 0 to RAND_MAX.,A double in the range 0 to 1,A float in the range 0 to 1,An integer in the range 0 to RAND_MAX,tech,vhard
700,",include typedef struct p *q; int main() { struct p { int x; char y; q ptr; }; struct p p = {1, 2, printf(""%dn"", p.ptr->x); return 0; }",Compile time error,1,Depends on the compiler,none,Compile time error,tech,vhard
